16	4425
17	14425
18	6728
19	7481
20	10038
21	0
22	33672
23	0
24	0
25	78082
26	0
27	9301
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	1
45	0
46	86950
47	0
48	13916
49	9852
50	3472
51	3463
52	8562
53	3926
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	10505
67	6642
68	0
69	0
70	0
71	0
72	0
73	7190
74	9034
75	9960
76	47878
77	0
78	9422
79	0
80	688
81	53261
82	7228
83	12982
84	0
85	5009
86	0
87	0
88	13574
89	14491
90	0
91	13122
92	0
93	0
94	27165
95	0
96	19645
97	6780
98	8497
99	0
100	0
101	0
102	9689
103	13714
104	0
105	0
106	16185
107	24453
108	27446
109	2630
110	0
111	4531
112	0
113	0
114	0
115	20859
116	2027
117	0
118	5350
119	0
120	59170
121	46611
122	0
123	2934
124	12190
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	45876
133	0
134	2720
135	0
136	0
137	2458
138	0
139	0
140	0
141	9584
142	1499
143	15653
144	55759
145	0
146	0
147	0
148	19991
149	10830
150	1271
151	49532
152	17908
153	11309
154	2371
155	6183
156	22498
157	0
158	0
159	30244
160	91177
161	0
162	0
163	1742
164	0
165	47345
166	3584
167	10013
168	0
169	0
170	0
171	0
172	0
173	26724
174	4655
175	3161
176	9846
177	1085
178	2124
179	1268
180	22588
181	27787
182	41264
183	9229
184	21639
185	0
186	1770
187	3151
188	0
189	21554
190	12817
191	9279
192	31076
193	2987
194	1560
195	0
196	5355
197	2053
198	0
199	5784
200	3841
201	16066
202	8881
203	5538
204	18821
205	0
206	0
207	0
208	0
209	25786
210	2018
211	0
212	5143
213	952
214	20149
215	6660
216	4930
217	0
218	0
219	1463
220	12340
221	4548
222	0
223	11209
224	0
225	7105
226	9100
227	16287
228	1308
229	0
230	1418
231	0
232	0
233	2332
234	0
235	31915
236	2028
237	12504
238	0
239	3928
240	0
241	831
242	2919
243	0
244	0
245	6420
246	0
247	0
248	1276
249	11358
250	2653
251	1549
252	2217
253	3587
254	7848
255	0
256	1306
257	0
258	7029
259	15382
260	5309
261	4733
262	2013
263	3670
264	0
265	657
266	0
267	0
268	8178
269	0
270	1538
271	1403
272	0
273	0
274	1394
275	6403
276	7151
277	4009
278	3094
279	0
280	3504
281	697
282	5134
283	2596
284	0
285	0
286	3926
287	0
288	3521
289	1071
290	4891
291	0
292	1249
293	2578
294	0
295	4144
296	5188
297	0
298	1702
299	750
300	0
301	0
302	920
303	5785
304	3779
305	4176
306	2193
307	1029
308	1383
309	0
310	0
311	4955
312	5999
313	3087
314	0
315	1065
316	2529
317	662
318	1601
319	3381
320	1815
321	636
322	0
323	2859
324	692
325	1323
326	2719
327	2227
328	0
329	1548
330	0
331	219
332	1802
333	738
334	1623
335	0
336	1154
337	0
338	0
339	1133
340	332
341	514
342	8278
343	858
344	1047
345	0
346	4210
347	0
348	290
349	0
350	372
351	716
352	0
353	351
354	0
355	1456
356	0
357	0
358	4012
359	0
360	897
361	1048
362	0
363	0
364	0
365	257
366	279
367	0
368	0
369	628
370	0
371	177
372	0
373	771
374	233
